Sample proton lifetime predictions (in years):
M_XY: 5.00e+15 GeV, M_T: 1.00e+14 GeV, g5: 0.650, y_u: 0.500, y_d: 0.400 => tau_p: 7.367e+31 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+14 GeV, g5: 0.650, y_u: 0.500, y_d: 0.450 => tau_p: 5.822e+31 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+14 GeV, g5: 0.650, y_u: 0.500, y_d: 0.500 => tau_p: 4.717e+31 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+14 GeV, g5: 0.650, y_u: 0.550, y_d: 0.400 => tau_p: 6.090e+31 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+14 GeV, g5: 0.650, y_u: 0.550, y_d: 0.450 => tau_p: 4.812e+31 years

Parameter sets with tau_p > 1e34 years:
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.400 => tau_p: 1.333e+37 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.450 => tau_p: 1.142e+37 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.500 => tau_p: 9.901e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.400 => tau_p: 1.177e+37 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.450 => tau_p: 1.004e+37 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.500 => tau_p: 8.663e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.400 => tau_p: 1.047e+37 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.450 => tau_p: 8.891e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.500 => tau_p: 7.644e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.400 => tau_p: 8.862e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.450 => tau_p: 7.658e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.500 => tau_p: 6.683e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.400 => tau_p: 7.878e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.450 => tau_p: 6.772e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.500 => tau_p: 5.884e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.400 => tau_p: 7.050e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.450 => tau_p: 6.032e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.500 => tau_p: 5.219e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.400 => tau_p: 6.005e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.450 => tau_p: 5.229e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.500 => tau_p: 4.595e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.400 => tau_p: 5.372e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.450 => tau_p: 4.653e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.500 => tau_p: 4.069e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.400 => tau_p: 4.834e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.450 => tau_p: 4.167e+36 years
M_XY: 5.00e+15 GeV, M_T: 2.58e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.500 => tau_p: 3.629e+36 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.400 => tau_p: 4.822e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.450 => tau_p: 4.461e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.500 => tau_p: 4.140e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.400 => tau_p: 4.530e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.450 => tau_p: 4.170e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.500 => tau_p: 3.852e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.400 => tau_p: 4.264e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.450 => tau_p: 3.907e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.500 => tau_p: 3.593e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.400 => tau_p: 2.914e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.450 => tau_p: 2.717e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.500 => tau_p: 2.539e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.400 => tau_p: 2.755e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.450 => tau_p: 2.556e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.500 => tau_p: 2.377e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.400 => tau_p: 2.608e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.450 => tau_p: 2.408e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.500 => tau_p: 2.231e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.400 => tau_p: 1.809e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.450 => tau_p: 1.697e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.500 => tau_p: 1.596e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.400 => tau_p: 1.719e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.450 => tau_p: 1.606e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.500 => tau_p: 1.503e+37 years
